                  Time                  QLh                   IPL                   IBS                   Iohm                  Vexp                  L                     V                     ICD 
      0.16000000355105      0.15000000000000      0.17000000000000      0.00644256651867      0.16163396109958      1.61500000000000      0.63993178034650      1.21694341659695      0.00000000000000
      0.16010000355697      0.15000000000000      0.17000000000000      0.00644176150672      0.16163480982027      1.61500000000000      0.63995730330613      1.21686134658084      0.00000000000000
      0.16020000356289      0.15000000000000      0.17000000000000      0.00644088664558      0.16163565495921      1.61500000000000      0.63998244795181      1.21677938559448      0.00000000000000
      0.16030000356881      0.15000000000000      0.17000000000000      0.00644000479952      0.16163649421445      1.61500000000000      0.64000749123053      1.21669852009420      0.00000000000000
      0.16040000357473      0.15000000000000      0.17000000000000      0.00643910141662      0.16163732996804      1.61500000000000      0.64003237939518      1.21661935629792      0.00000000000000
      0.16050000358064      0.15000000000000      0.17000000000000      0.00643828185275      0.16163815976038      1.61500000000000      0.64005705175563      1.21653921704184      0.00000000000000
      0.16060000358656      0.15000000000000      0.17000000000000      0.00643743085675      0.16163899538465      1.61500000000000      0.64008140639817      1.21646136072862      0.00000000000000
      0.16070000359248      0.15000000000000      0.17000000000000      0.00643657345790      0.16163981554844      1.61500000000000      0.64010575940380      1.21638116287866      0.00000000000000
      0.16080000359840      0.15000000000000      0.17000000000000      0.00643578416202      0.16164063146643      1.61500000000000      0.64012985572872      1.21630272972243      0.00000000000000
      0.16090000360432      0.15000000000000      0.17000000000000      0.00643487670459      0.16164144337939      1.61500000000000      0.64015400396162      1.21622428546387      0.00000000000000
      0.16100000361024      0.15000000000000      0.17000000000000      0.00643409846816      0.16164224975792      1.61500000000000      0.64017814826742      1.21614573953715      0.00000000000000
      0.16110000361616      0.15000000000000      0.17000000000000      0.00643324223347      0.16164305150538      1.61500000000000      0.64020186266437      1.21606915958117      0.00000000000000
      0.16120000362207      0.15000000000000      0.17000000000000      0.00643243140075      0.16164384915293      1.61500000000000      0.64022555604714      1.21599152302382      0.00000000000000
      0.16130000362799      0.15000000000000      0.17000000000000      0.00643161765765      0.16164464177981      1.61500000000000      0.64024882601783      1.21591481150743      0.00000000000000
      0.16140000363391      0.15000000000000      0.17000000000000      0.00643078237772      0.16164543035359      1.61500000000000      0.64027207033451      1.21583911985880      0.00000000000000
      0.16150000363983      0.15000000000000      0.17000000000000      0.00642994942609      0.16164621406095      1.61500000000000      0.64029533634190      1.21576206733026      0.00000000000000
      0.16160000364575      0.15000000000000      0.17000000000000      0.00642914848868      0.16164699227438      1.61500000000000      0.64031853154715      1.21568452692945      0.00000000000000
      0.16170000365167      0.15000000000000      0.17000000000000      0.00642832543235      0.16164776900408      1.61500000000000      0.64034166965321      1.21560814388838      0.00000000000000
      0.16180000365758      0.15000000000000      0.17000000000000      0.00642755185254      0.16164853867046      1.61500000000000      0.64036445406818      1.21553424824392      0.00000000000000
      0.16190000366350      0.15000000000000      0.17000000000000      0.00642678875010      0.16164930424820      1.61500000000000      0.64038713999009      1.21545896736120      0.00000000000000
      0.16200000366942      0.15000000000000      0.17000000000000      0.00642598955892      0.16165006521210      1.61500000000000      0.64040987704315      1.21538402069107      0.00000000000000
      0.16210000367534      0.15000000000000      0.17000000000000      0.00642522296403      0.16165082187100      1.61500000000000      0.64043224719243      1.21531010563489      0.00000000000000
      0.16220000368126      0.15000000000000      0.17000000000000      0.00642443075776      0.16165157506867      1.61500000000000      0.64045470663078      1.21523815449322      0.00000000000000
      0.16230000368718      0.15000000000000      0.17000000000000      0.00642361526843      0.16165232284888      1.61500000000000      0.64047668974124      1.21516435491734      0.00000000000000
      0.16240000369309      0.15000000000000      0.17000000000000      0.00642283703201      0.16165306674191      1.61500000000000      0.64049863548569      1.21509234875759      0.00000000000000
      0.16250000369901      0.15000000000000      0.17000000000000      0.00642210303340      0.16165380668351      1.61500000000000      0.64052042793218      1.21502069119063      0.00000000000000
      0.16260000370493      0.15000000000000      0.17000000000000      0.00642135215458      0.16165454158199      1.61500000000000      0.64054238716791      1.21494883824589      0.00000000000000
      0.16270000371085      0.15000000000000      0.17000000000000      0.00642052851617      0.16165527288173      1.61500000000000      0.64056386742603      1.21487716726432      0.00000000000000
      0.16280000371677      0.15000000000000      0.17000000000000      0.00641983817331      0.16165599987374      1.61500000000000      0.64058538770010      1.21480746249948      0.00000000000000
      0.16290000372269      0.15000000000000      0.17000000000000      0.00641905586235      0.16165672258048      1.61500000000000      0.64060674018528      1.21473600548302      0.00000000000000
      0.16300000372861      0.15000000000000      0.17000000000000      0.00641833408736      0.16165744099068      1.61500000000000      0.64062805761772      1.21466761458218      0.00000000000000
      0.16310000373452      0.15000000000000      0.17000000000000      0.00641761405859      0.16165815515370      1.61500000000000      0.64064927831066      1.21459778842759      0.00000000000000
      0.16320000374044      0.15000000000000      0.17000000000000      0.00641684164293      0.16165886618215      1.61500000000000      0.64067032049303      1.21452864858375      0.00000000000000
      0.16330000374636      0.15000000000000      0.17000000000000      0.00641609833110      0.16165957266006      1.61500000000000      0.64069121637606      1.21445936550104      0.00000000000000
      0.16340000375228      0.15000000000000      0.17000000000000      0.00641538586933      0.16166027083271      1.61500000000000      0.64071212966099      1.21428225806959      0.00000000000000
      0.16350000375820      0.15000000000000      0.17000000000000      0.00641464663204      0.16166097233801      1.61500000000000      0.64073249720752      1.21432915347208      0.00000000000000
      0.16360000376412      0.15000000000000      0.17000000000000      0.00641392136458      0.16166166766890      1.61500000000000      0.64075297968647      1.21426731322850      0.00000000000000
